,0
0,-1036.2201850004494
1,-1029.5715430006385
2,-1029.23120299913
3,-1291.4757996518165
4,-789.8236494343728
5,-1037.8661146704108
6,-1035.7246899995953
7,-1092.1699329987168
8,-1043.0138259995729
9,-1095.6340629998595
10,-1042.4078899994493
11,-1096.056539999321
12,-1041.5610990002751
13,-1034.9639299996197
14,-1082.8603949993849
15,-1017.6572569999844
16,-1016.2151999995112
17,-1014.5124990008771
18,-841.2327393647283
19,-1025.523398000747
20,-1024.2902669999748
21,-1027.4083820004016
22,-1019.6806620005518
23,-1068.405291998759
24,-1074.762934671715
25,-1509.3563048336655
26,-506.87944667972624
27,-1012.7795231249183
28,-1001.1169188544154
29,-1058.2125080004334
30,-1014.8922309987247
31,-14.314715811982751
32,-1042.2913043871522
33,-0.3961988277733326
34,0.0
35,-54.64884500019252
36,-1034.2694870010018
37,-2147.752606999129
38,-953.6828159987926
39,1294.3950472641736
40,-251.62560788355768
41,-1046.9194339998066
42,0.0
43,0.0
44,-1106.0566899999976
45,-1056.1198030002415
46,0.0
47,-1117.7091420013458
48,-1058.0475399997085
49,-1114.4427669998258
50,-1114.9406349994242
51,-59.26710500009358
52,-1182.4159543290734
53,227.27879107743502
54,-1065.4175599999726
55,-59.39905700087547
56,-1068.790439998731
57,-1070.1520830001682
58,-45.333542900159955
59,-59.54246314428747
60,-217.0053871795535
61,-1137.2742699999362
