,0
0,107.42341600172222
1,106.29719599895179
2,106.57686600089073
3,107.36731499992311
4,107.31587900035083
5,106.95728500001132
6,107.79737600125372
7,107.4225719999522
8,107.53398400172591
9,107.87343600019813
10,107.27040600031614
11,106.8754969984293
12,104.8665619995445
13,105.61682700179517
14,106.15350900031626
15,106.90256499871612
16,106.11901300214231
17,106.47424700111151
18,106.73164200037718
19,107.82613399997354
20,108.71253799833357
21,108.37114899978042
22,108.83959499932826
23,109.38724100030959
24,109.45045300014317
25,-151.1905590482056
26,109.09830000065267
27,109.16527199931443
28,110.2219600006938
29,111.35841299965978
30,111.30378499999642
31,111.46159300021827
32,111.33970000036061
33,111.24008599855006
34,111.55493400245905
35,113.20136800035834
36,114.42347599938512
37,114.70560300163925
38,115.32366999983788
39,115.33780799992383
40,116.52644900046289
41,117.36391599848866
42,117.61759200133383
43,117.69885099865496
44,117.52652600035071
45,117.83745499886572
46,117.68190099857748
47,117.5885700006038
48,116.49245699867606
49,116.98959300108254
50,117.53186099976301
51,116.97308300063014
52,116.84517000056803
53,116.90573399886489
54,116.57333399914205
55,116.05342000164092
56,-516.0075516719371
57,114.60834299959242
58,115.69759500026703
59,115.42437399923801
60,114.90340700000525
61,114.56533000059426
