,0
0,9828799.508374674
1,9828799.508374674
2,9828799.508374674
3,9828799.508374674
4,9828799.508374674
5,9828799.508374674
6,9828799.508374674
7,9828799.508374674
8,9828799.508374674
9,9828799.508374674
10,9828799.508374674
11,9828799.508374674
12,9828799.508374674
13,9828799.508374674
14,9828799.508374674
15,9828799.508374674
16,9828799.508374674
17,9828799.508374674
18,9828799.508374674
19,9828799.508374674
20,9828799.508374674
21,9828799.508374674
22,9828799.508374674
23,9828799.508374674
24,9828799.508374674
25,9828799.508374674
26,9828799.508374674
27,9828799.508374674
28,9828799.508374674
29,9828799.508374674
30,9828799.508374674
31,9828799.508374674
32,9828799.508374674
33,9828799.508374674
34,9828799.508374674
35,9828799.508374674
36,9828799.508374674
37,9828799.508374674
38,9828799.508374674
39,9828799.508374674
40,9828799.508374674
41,9828799.508374674
42,9828799.508374674
43,9828799.508374674
44,9828343.73918518
45,9828800.647878531
46,9828800.190969838
47,9828787.662232839
48,9828866.80352936
49,9828893.98119354
50,9828893.55877241
51,9828893.55877241
52,9828893.55877241
53,9828893.55877241
54,9828893.55877241
55,9828893.55877241
56,9828893.55877241
57,9828893.55877241
58,9828893.55877241
59,9828893.55877241
60,9828893.55877241
61,9828893.55877241
62,9828893.55877241
