,0
0,10007806.008639734
1,10005693.484636337
2,10005729.599677084
3,10005765.423974296
4,10005802.649603095
5,10005840.485365402
6,10005878.214323277
7,10005913.372867871
8,10005949.740550373
9,10005987.56602529
10,10006024.27499494
11,10006064.395749232
12,10006105.941893768
13,10006147.865866452
14,10006187.50969409
15,10006227.185952269
16,10006265.198743649
17,10006304.852692774
18,10006344.286364514
19,10006382.022808041
20,10006419.972466435
21,10006457.345059974
22,10006495.326160185
23,10006533.624506675
24,10006571.527027503
25,10006608.689352017
26,10006646.81937093
27,10006686.591017919
28,10006728.04064871
29,10006768.553127864
30,10006807.753078882
31,10006848.3324531
32,10006887.881850548
33,10006926.931663664
34,10006966.559065955
35,10007006.636352448
36,10007047.148600867
37,10007078.37623887
38,10007109.121785559
39,10007140.540868144
40,10007171.10309887
41,10007202.060509516
42,10007233.41307697
43,10007266.08373562
44,10007300.97446471
45,10007335.680956732
46,10007374.339130495
47,10007410.189945022
48,10007446.803013908
49,10007495.01490909
50,10007542.963959288
51,10007589.975361364
52,10007638.094056977
53,10007685.39993728
54,10007731.18139348
55,10007777.448868426
56,10007823.38865698
57,10007869.321442526
58,10007914.315777339
59,10007959.449734313
60,10008006.526423441
61,10008056.385256099
62,10008033.913229566
