,0
0,10022871.251469072
1,10021835.284454806
2,10021997.961613908
3,10022190.120695101
4,10022363.41322787
5,10022529.547702493
6,10022696.664959492
7,10022864.414739644
8,10023019.504962089
9,10023190.797309143
10,10023347.4037492
11,10023489.421448752
12,10023645.824181736
13,10023823.06464162
14,10023989.546045085
15,10024150.909822961
16,10024308.114282172
17,10024434.262501173
18,10024424.08700468
19,10024589.82570704
20,10024813.802046595
21,10024985.3979857
22,10025158.2425297
23,10025324.4149527
24,10025495.4965397
25,10025650.2959787
26,10025766.0739337
27,10025887.633402327
28,10026049.965250988
29,10026213.68617299
30,10026370.922841989
31,10026528.132084988
32,10026689.053479988
33,10026843.122863987
34,10026997.606165988
35,10027159.78156199
36,10027313.780239873
37,10027478.77546963
38,10027648.822686628
39,10027812.268950626
40,10027976.341266626
41,10028119.126443572
42,10028243.9441144
43,10028474.631875768
44,10028640.075967096
45,10028831.064104393
46,10028885.749509873
47,10029070.126347529
48,10029217.52751449
49,10029330.965276418
50,10030501.132535776
51,10029477.103077956
52,10029608.747030323
53,10029748.295142734
54,10029607.563542023
55,10029780.008968377
56,10029870.698898777
57,10029999.269779447
58,10029875.813561205
59,10030030.573815385
60,10030169.907695632
61,10029287.167950634
62,10029437.554994632
