,0
0,10015961.915020088
1,10007624.293656526
2,10007978.979801098
3,10008357.868904138
4,10008503.600639457
5,10008521.87976824
6,10008742.343190977
7,10008804.494430697
8,10008971.99095175
9,10009134.34901663
10,10009206.455451552
11,10009514.877633227
12,10009519.761804368
13,10009672.631145576
14,10009715.660566993
15,10009876.162002563
16,10010139.88368595
17,10010277.846828785
18,10010343.233546283
19,10010440.289500413
20,10010820.28641784
21,10010848.900925277
22,10011098.143385975
23,10011330.406603316
24,10011343.371698372
25,10011554.202624472
26,10011798.097430013
27,10011971.591485612
28,10012110.226567697
29,10012166.813754747
30,10012218.2070533
31,10012266.789843401
32,10012600.540713863
33,10012712.871863415
34,10012924.863437276
35,10013036.721351672
36,10013205.633945808
37,10013271.215134555
38,10013396.593021942
39,10013585.182392005
40,10013794.306784866
41,10013657.156624656
42,10014009.05462307
43,10014274.027144345
44,10014722.686620837
45,10014967.479973804
46,10015208.920954155
47,10015282.08862101
48,10015679.720468173
49,10015792.891104206
50,10016014.164023066
51,10016248.197455976
52,10016422.498956619
53,10016764.351580918
54,10016886.156840716
55,10017169.752004549
56,10017181.22591329
57,10017525.753411552
58,10017700.286181133
59,10018038.852966767
60,10018066.102559699
61,10018175.088694002
62,10018491.06599171
