,0
0,10000000.0
1,10000000.0
2,10000000.0
3,9999008.918414205
4,9998130.866277384
5,9997221.750775812
6,9997445.732808225
7,9997582.899875462
8,9996660.19860837
9,9996988.96056816
10,9997341.958852762
11,9997703.017986726
12,9998072.22014343
13,9998511.293011535
14,9998866.814958848
15,9999211.045428136
16,9999615.195042219
17,9999996.133804062
18,10000352.43900484
19,10000790.224481944
20,10001139.217256956
21,10001517.747728882
22,10001897.186296284
23,10002287.785213906
24,10002572.691252898
25,10002948.565699987
26,10003339.575611062
27,10003686.573363874
28,10004066.605347898
29,10004475.165683068
30,10004888.549719768
31,10005316.565273555
32,10005761.769788973
33,10006204.200130979
34,10006650.31144957
35,10007109.962045517
36,10007557.369591527
37,10007989.687628092
38,10008417.526454737
39,10008838.081277667
40,10009258.738767149
41,10009691.932240011
42,10010133.205473661
43,10010548.792584926
44,10010981.056513222
45,10011379.651246238
46,10011797.889739314
47,10012220.561601613
48,10012634.796554586
49,10013065.870368594
50,10013482.222008685
51,10013875.224021193
52,10014275.060563613
53,10014705.127559798
54,10015141.173209166
55,10015559.223794535
56,10015958.031629005
57,10016347.740225786
58,10016753.57647537
59,10017155.600000283
60,10017552.633493776
61,10017904.420868844
62,10018297.191794178
63,10018676.58930943
64,10018985.90915667
65,10019362.841715472
66,10019718.817711096
67,10019990.063051024
68,10020293.522601314
69,10020485.423996342
70,10020895.285910679
71,10021159.450710353
72,10021459.561130548
73,10021737.25868136
74,10022081.560461413
75,10022309.289578438
76,10022568.3109467
77,10022767.153450161
78,10023081.127143648
79,10023223.032560248
80,10023509.271482723
81,10023727.127337717
82,10024050.540683607
83,10024304.463229075
84,10024617.282099172
85,10024789.333436761
86,10025040.384142043
87,10025300.588545697
88,10025423.07131696
89,10025520.630277663
90,10025697.60051719
91,10025690.500615846
92,10025893.66028415
93,10026093.909462081
94,10026213.139572931
95,10026280.872379342
96,10026404.193679962
97,10026520.141439676
98,10026639.767575685
99,10026825.696266074
100,10026826.917401776
101,10026732.276972448
102,10026789.673428308
103,10026705.5424669
104,10026847.770733323
105,10026881.657904366
106,10026976.987679187
107,10027058.238783084
108,10027091.766428037
109,10027180.198084144
110,10027305.131213069
111,10027277.354084851
112,10027260.499666778
113,10027135.84126079
114,10026870.52593685
115,10026585.498663105
116,10026381.87266549
117,10026253.82194356
118,10026136.913016947
119,10026041.593521181
120,10025812.46687735
121,10025602.945285806
122,10025320.256439844
123,10025161.45484645
124,10024996.78728601
125,10024827.500845823
126,10024666.736233227
127,10024513.330247201
128,10024274.96759041
129,10024025.367285611
130,10023719.293346727
131,10023331.10583717
132,10022985.083878085
133,10022625.82879407
134,10022112.506273465
135,10021649.511487901
136,10021220.681519683
137,10020822.456982573
138,10020390.102142781
139,10020027.123082673
140,10019637.571271174
141,10019183.892133495
142,10018846.19146199
143,10018556.561247244
144,10018207.364410141
145,10017848.173761051
146,10017645.684240023
147,10017405.646746075
148,10017045.24327797
149,10016691.83667644
150,10016239.701664988
151,10015766.420243679
152,10015306.618893664
153,10014961.515342323
154,10014531.330468174
155,10014149.338611482
156,10013722.744295051
157,10013294.857154345
158,10013001.008323107
159,10012673.054573644
160,10012323.020503465
161,10012029.804039026
162,10011806.306821954
163,10011452.077842845
164,10011082.651414135
165,10010765.617849996
166,10010411.896106077
167,10010031.8228391
168,10009655.561682692
169,10009185.550443156
170,10008646.914745633
171,10008294.39288603
172,10007942.807444766
173,10007601.068817578
174,10007202.526202917
175,10006913.91912207
176,10006678.992426466
177,10006457.061862431
178,10006199.266930753
179,10005941.934864134
180,10005693.685624516
181,10005407.153840914
182,10005047.248183161
183,10004694.763987362
184,10004549.630770477
185,10004308.419621916
186,10004027.217003657
187,10003767.073182853
188,10003618.955782782
189,10003328.542794345
190,10002991.255840292
191,10002813.992771925
192,10002510.144031057
193,10002292.05589325
194,10002200.503456412
195,10001891.33999782
196,10001639.621486431
197,10001328.508267336
198,10000933.731699504
199,10000701.71640538
200,10000327.349843895
201,9999882.560226185
202,9999409.66172963
203,9998840.849636175
204,9998329.084494038
205,9997746.18033848
206,9997145.985775389
207,9996504.01609746
208,9995974.024201602
209,9995496.687319458
210,9995006.882838372
211,9994544.384121493
212,9994115.070667373
213,9993719.884286879
214,9993203.11989633
215,9992662.467589492
216,9992137.207689196
217,9991691.754671836
218,9991231.638120001
219,9990783.13518161
220,9990262.103613662
221,9989656.753162926
222,9989017.768552344
223,9988405.752773318
224,9987739.069450835
225,9987097.027212003
226,9986544.743613336
227,9986080.557270402
228,9985567.312640088
229,9985087.71781767
230,9984648.823570296
231,9984169.868002055
232,9983692.104408834
233,9983179.892443635
234,9982705.846915625
235,9982223.777993927
236,9981744.247457448
237,9981231.305076407
238,9980714.750037834
239,9980257.55666412
240,9979760.592830842
241,9979193.190972263
242,9978829.906193076
243,9978571.849308396
244,9978298.80944052
245,9977917.002361696
246,9977638.920331137
247,9977415.43676296
248,9977199.731456676
249,9977034.310977174
250,9976822.066897778
251,9976560.95916221
252,9976381.504570853
253,9976199.379067007
254,9975977.691996925
255,9975706.03719354
256,9975350.816790711
257,9974932.91056767
258,9974613.935464157
259,9974434.920306735
260,9974310.360233165
261,9974023.260714041
262,9973738.825144008
263,9973420.528084232
264,9973042.834100472
265,9972703.0885263
266,9972354.22953851
267,9972039.293177698
268,9971780.775561348
269,9971519.357742164
270,9971273.039736187
271,9970923.282051826
272,9970514.4821253
273,9969968.58324534
274,9969480.32100542
275,9968951.548405787
276,9968436.507154323
277,9967959.310310507
278,9967391.127760224
279,9966818.8462349
280,9966294.410961038
281,9965779.19273345
282,9964185.443799336
283,9962689.802107323
284,9961275.428572422
285,9959783.643690117
286,9958223.396422727
287,9956565.497786088
288,9954902.9801286
289,9953215.24625192
290,9951401.12781565
291,9949650.666628823
292,9947926.756201603
293,9946266.41507465
294,9944450.043070938
295,9942608.714706492
296,9940973.684734808
297,9939342.967721716
298,9937822.83640123
299,9936330.125523176
300,9934751.954309212
301,9933303.258985642
302,9931810.941063503
303,9930298.152701769
304,9928665.559852365
305,9926855.297066027
306,9925158.344665587
307,9923628.06422081
308,9922158.022850497
309,9920429.052461348
310,9918616.97240477
311,9916925.407302953
312,9915243.331850216
313,9913621.158413736
314,9911873.758160338
315,9910044.230327439
316,9908306.62906383
317,9906613.253678845
318,9905010.388760174
319,9903230.868274799
320,9901369.981582418
321,9899434.261115441
322,9897594.065727131
323,9895920.321058212
324,9894335.613761643
325,9892660.803384107
326,9890751.374562385
327,9888974.63374599
328,9887101.221280465
329,9885223.988288755
330,9883510.326895464
331,9881663.327888384
332,9879769.030721566
333,9877683.787574798
334,9875433.647519909
335,9873146.72066716
336,9870912.552464655
337,9868635.68191565
338,9866396.542123348
339,9864230.167519335
340,9862031.704425383
341,9859831.871413598
342,9857512.800763024
343,9855227.218990102
344,9852924.160567336
345,9850485.346776266
346,9848180.933377119
347,9845942.875919864
348,9843659.965650281
349,9841377.446202785
350,9839216.20896581
351,9836707.044171045
352,9836237.744937481
353,9835726.918280076
354,9834962.090715544
355,9834250.901050678
356,9833441.345971052
357,9832685.878948256
358,9831843.939195082
359,9831392.380538894
360,9830940.691648474
361,9830429.380692434
362,9830025.266637877
363,9829605.055044781
364,9829239.13431247
365,9828893.414754987
366,9828556.301725132
367,9828285.135379637
368,9828053.45806423
369,9827749.088163327
370,9827460.272313654
371,9827168.721026095
372,9826926.349981295
373,9826739.773497542
374,9826523.477171643
